n,protocol,loss,calibrated,context_feature,target_feature,repeat,fold,delta
200,DT + RMSE,rmse,False,X2,X1,0,0,0.5264683086226218
200,DT + RMSE,rmse,False,X2,X1,0,1,0.5178020082788947
200,DT + RMSE,rmse,False,X2,X1,0,2,0.5700787470120555
200,DT + RMSE,rmse,False,X2,X1,0,3,0.5045799413686263
200,DT + RMSE,rmse,False,X2,X1,0,4,0.5636581178204757
200,DT + RMSE,rmse,False,X2,X1,1,0,0.4474746996970841
200,DT + RMSE,rmse,False,X2,X1,1,1,0.5220548245992566
200,DT + RMSE,rmse,False,X2,X1,1,2,0.4328449669381695
200,DT + RMSE,rmse,False,X2,X1,1,3,0.4891452347801213
200,DT + RMSE,rmse,False,X2,X1,1,4,0.43787660638666587
200,DT + RMSE,rmse,False,X2,X1,2,0,0.536303349542497
200,DT + RMSE,rmse,False,X2,X1,2,1,0.5293586320133374
200,DT + RMSE,rmse,False,X2,X1,2,2,0.48567389058536814
200,DT + RMSE,rmse,False,X2,X1,2,3,0.5170037890331762
200,DT + RMSE,rmse,False,X2,X1,2,4,0.5403666636685316
200,DT + RMSE,rmse,False,X2,X1,3,0,0.5055543797210771
200,DT + RMSE,rmse,False,X2,X1,3,1,0.44442874114511766
200,DT + RMSE,rmse,False,X2,X1,3,2,0.5440998605417992
200,DT + RMSE,rmse,False,X2,X1,3,3,0.4891645636625018
200,DT + RMSE,rmse,False,X2,X1,3,4,0.5625700971313412
200,DT + RMSE,rmse,False,X2,X1,4,0,0.5657779276840804
200,DT + RMSE,rmse,False,X2,X1,4,1,0.4363437680558416
200,DT + RMSE,rmse,False,X2,X1,4,2,0.5651274554346689
200,DT + RMSE,rmse,False,X2,X1,4,3,0.42914635599904166
200,DT + RMSE,rmse,False,X2,X1,4,4,0.588090753323594
200,DT + RMSE,rmse,False,X2,X1,5,0,0.47038492915040264
200,DT + RMSE,rmse,False,X2,X1,5,1,0.4129866573131409
200,DT + RMSE,rmse,False,X2,X1,5,2,0.5367500881350274
200,DT + RMSE,rmse,False,X2,X1,5,3,0.5677011662686497
200,DT + RMSE,rmse,False,X2,X1,5,4,0.48459888057770045
200,DT + RMSE,rmse,False,X2,X1,6,0,0.49271975355016084
200,DT + RMSE,rmse,False,X2,X1,6,1,0.46927324340503535
200,DT + RMSE,rmse,False,X2,X1,6,2,0.5170639968887294
200,DT + RMSE,rmse,False,X2,X1,6,3,0.5349480012583135
200,DT + RMSE,rmse,False,X2,X1,6,4,0.5062671059540926
200,DT + RMSE,rmse,False,X2,X1,7,0,0.5121899235759149
200,DT + RMSE,rmse,False,X2,X1,7,1,0.5133802598662959
200,DT + RMSE,rmse,False,X2,X1,7,2,0.5665268496741577
200,DT + RMSE,rmse,False,X2,X1,7,3,0.48806021885214584
200,DT + RMSE,rmse,False,X2,X1,7,4,0.45971430795177176
200,DT + RMSE,rmse,False,X2,X1,8,0,0.49993761833757205
200,DT + RMSE,rmse,False,X2,X1,8,1,0.5350119617976761
200,DT + RMSE,rmse,False,X2,X1,8,2,0.4320555678191565
200,DT + RMSE,rmse,False,X2,X1,8,3,0.5299357200536674
200,DT + RMSE,rmse,False,X2,X1,8,4,0.4882203851645962
200,DT + RMSE,rmse,False,X2,X1,9,0,0.5112252426606179
200,DT + RMSE,rmse,False,X2,X1,9,1,0.4708386755183364
200,DT + RMSE,rmse,False,X2,X1,9,2,0.4740499163622385
200,DT + RMSE,rmse,False,X2,X1,9,3,0.5075034609311959
200,DT + RMSE,rmse,False,X2,X1,9,4,0.4550712514528841
200,DT + log-loss,logloss,False,X2,X1,0,0,0.7484493150245247
200,DT + log-loss,logloss,False,X2,X1,0,1,0.7295178091050004
200,DT + log-loss,logloss,False,X2,X1,0,2,0.8474136938510195
200,DT + log-loss,logloss,False,X2,X1,0,3,0.7030123518782883
200,DT + log-loss,logloss,False,X2,X1,0,4,0.8327254652404485
200,DT + log-loss,logloss,False,X2,X1,1,0,0.5925527591814759
200,DT + log-loss,logloss,False,X2,X1,1,1,0.7387637651481006
200,DT + log-loss,logloss,False,X2,X1,1,2,0.565483527386535
200,DT + log-loss,logloss,False,X2,X1,1,3,0.6694493199493894
200,DT + log-loss,logloss,False,X2,X1,1,4,0.5752539251766882
200,DT + log-loss,logloss,False,X2,X1,2,0,0.76950458637206
200,DT + log-loss,logloss,False,X2,X1,2,1,0.7546394313718059
200,DT + log-loss,logloss,False,X2,X1,2,2,0.6645953187051392
200,DT + log-loss,logloss,False,X2,X1,2,3,0.7272265294904758
200,DT + log-loss,logloss,False,X2,X1,2,4,0.7781854030142481
200,DT + log-loss,logloss,False,X2,X1,3,0,0.7042892786747226
200,DT + log-loss,logloss,False,X2,X1,3,1,0.5858272422637723
200,DT + log-loss,logloss,False,X2,X1,3,2,0.7862932199694949
200,DT + log-loss,logloss,False,X2,X1,3,3,0.6689841708033462
200,DT + log-loss,logloss,False,X2,X1,3,4,0.8293338111928223
200,DT + log-loss,logloss,False,X2,X1,4,0,0.8399756542469733
200,DT + log-loss,logloss,False,X2,X1,4,1,0.5716596394574257
200,DT + log-loss,logloss,False,X2,X1,4,2,0.8336821547992578
200,DT + log-loss,logloss,False,X2,X1,4,3,0.5595789685077663
200,DT + log-loss,logloss,False,X2,X1,4,4,0.8901584446265077
200,DT + log-loss,logloss,False,X2,X1,5,0,0.6350537378926722
200,DT + log-loss,logloss,False,X2,X1,5,1,0.526655513821574
200,DT + log-loss,logloss,False,X2,X1,5,2,0.7703616206919501
200,DT + log-loss,logloss,False,X2,X1,5,3,0.8406867320351032
200,DT + log-loss,logloss,False,X2,X1,5,4,0.6624333027599785
200,DT + log-loss,logloss,False,X2,X1,6,0,0.6787064854019187
200,DT + log-loss,logloss,False,X2,X1,6,1,0.632920925961031
200,DT + log-loss,logloss,False,X2,X1,6,2,0.7285690336701034
200,DT + log-loss,logloss,False,X2,X1,6,3,0.766582480112558
200,DT + log-loss,logloss,False,X2,X1,6,4,0.7067701651335527
200,DT + log-loss,logloss,False,X2,X1,7,0,0.7179055820884709
200,DT + log-loss,logloss,False,X2,X1,7,1,0.720821080839083
200,DT + log-loss,logloss,False,X2,X1,7,2,0.8371852536946848
200,DT + log-loss,logloss,False,X2,X1,7,3,0.6696749978329878
200,DT + log-loss,logloss,False,X2,X1,7,4,0.6130094453689671
200,DT + log-loss,logloss,False,X2,X1,8,0,0.6935763436249629
200,DT + log-loss,logloss,False,X2,X1,8,1,0.7696673351395814
200,DT + log-loss,logloss,False,X2,X1,8,2,0.5638368297174098
200,DT + log-loss,logloss,False,X2,X1,8,3,0.7552009254162231
200,DT + log-loss,logloss,False,X2,X1,8,4,0.670260273898396
200,DT + log-loss,logloss,False,X2,X1,9,0,0.7163240048036701
200,DT + log-loss,logloss,False,X2,X1,9,1,0.6330417295424915
200,DT + log-loss,logloss,False,X2,X1,9,2,0.6417233159858448
200,DT + log-loss,logloss,False,X2,X1,9,3,0.7083976378162569
200,DT + log-loss,logloss,False,X2,X1,9,4,0.6068791157683371
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,0,0.7339695516848342
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,1,0.7136069506130382
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,2,0.7982274703183626
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,3,0.708577650800929
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,4,0.8351020084564795
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,0,0.6237450174244954
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,1,0.6954200516139994
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,2,0.585343615833849
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,3,0.6862386162231778
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,4,0.6144847217797982
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,0,0.7184215050356078
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,1,0.7368656021656953
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,2,0.6641500514632651
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,3,0.737315369363775
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,4,0.7320456187335705
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,0,0.6991592030741947
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,1,0.642028474187591
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,2,0.7131054302083643
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,3,0.6494258738128688
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,4,0.7759680763751869
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,0,0.9014199099906844
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,1,0.5810267763900021
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,2,0.7448148068311609
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,3,0.6029584837357356
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,4,0.8729619226587987
200,DT + log-loss (calibrated),logloss,True,X2,X1,5,0,0.6566289302490511
200,DT + log-loss (calibrated),logloss,True,X2,X1,5,1,0.5519494983716404
200,DT + log-loss (calibrated),logloss,True,X2,X1,5,2,0.7499037577082701
200,DT + log-loss (calibrated),logloss,True,X2,X1,5,3,0.7525537258507597
200,DT + log-loss (calibrated),logloss,True,X2,X1,5,4,0.6341678836844294
200,DT + log-loss (calibrated),logloss,True,X2,X1,6,0,0.6964490388704021
200,DT + log-loss (calibrated),logloss,True,X2,X1,6,1,0.6646119570502853
200,DT + log-loss (calibrated),logloss,True,X2,X1,6,2,0.705165941861701
200,DT + log-loss (calibrated),logloss,True,X2,X1,6,3,0.7847178477366861
200,DT + log-loss (calibrated),logloss,True,X2,X1,6,4,0.6650844153037789
200,DT + log-loss (calibrated),logloss,True,X2,X1,7,0,0.6987526278172186
200,DT + log-loss (calibrated),logloss,True,X2,X1,7,1,0.715161565557755
200,DT + log-loss (calibrated),logloss,True,X2,X1,7,2,0.7646214510722588
200,DT + log-loss (calibrated),logloss,True,X2,X1,7,3,0.6846253095761702
200,DT + log-loss (calibrated),logloss,True,X2,X1,7,4,0.6625240427482699
200,DT + log-loss (calibrated),logloss,True,X2,X1,8,0,0.705677102326197
200,DT + log-loss (calibrated),logloss,True,X2,X1,8,1,0.7976267345840652
200,DT + log-loss (calibrated),logloss,True,X2,X1,8,2,0.5914919295742335
200,DT + log-loss (calibrated),logloss,True,X2,X1,8,3,0.7115094919341635
200,DT + log-loss (calibrated),logloss,True,X2,X1,8,4,0.6598918151081823
200,DT + log-loss (calibrated),logloss,True,X2,X1,9,0,0.6926069129334893
200,DT + log-loss (calibrated),logloss,True,X2,X1,9,1,0.6795025412664201
200,DT + log-loss (calibrated),logloss,True,X2,X1,9,2,0.6465515835568844
200,DT + log-loss (calibrated),logloss,True,X2,X1,9,3,0.6886575891279656
200,DT + log-loss (calibrated),logloss,True,X2,X1,9,4,0.6520633633174885
400,DT + RMSE,rmse,False,X2,X1,0,0,0.478665747286025
400,DT + RMSE,rmse,False,X2,X1,0,1,0.5460212479860846
400,DT + RMSE,rmse,False,X2,X1,0,2,0.47746101592441026
400,DT + RMSE,rmse,False,X2,X1,0,3,0.5169242787244249
400,DT + RMSE,rmse,False,X2,X1,0,4,0.4865284471866561
400,DT + RMSE,rmse,False,X2,X1,1,0,0.5153699205170565
400,DT + RMSE,rmse,False,X2,X1,1,1,0.4988515875611126
400,DT + RMSE,rmse,False,X2,X1,1,2,0.47447812646476134
400,DT + RMSE,rmse,False,X2,X1,1,3,0.5330510846319871
400,DT + RMSE,rmse,False,X2,X1,1,4,0.49524817233866825
400,DT + RMSE,rmse,False,X2,X1,2,0,0.4823771267877551
400,DT + RMSE,rmse,False,X2,X1,2,1,0.5053323108442348
400,DT + RMSE,rmse,False,X2,X1,2,2,0.4971973051945718
400,DT + RMSE,rmse,False,X2,X1,2,3,0.4881378991914856
400,DT + RMSE,rmse,False,X2,X1,2,4,0.5171935523591625
400,DT + RMSE,rmse,False,X2,X1,3,0,0.49681431183190894
400,DT + RMSE,rmse,False,X2,X1,3,1,0.5304655239408784
400,DT + RMSE,rmse,False,X2,X1,3,2,0.47731410486081594
400,DT + RMSE,rmse,False,X2,X1,3,3,0.5098623020079311
400,DT + RMSE,rmse,False,X2,X1,3,4,0.5272340956008954
400,DT + RMSE,rmse,False,X2,X1,4,0,0.48692598020553496
400,DT + RMSE,rmse,False,X2,X1,4,1,0.5056502681991246
400,DT + RMSE,rmse,False,X2,X1,4,2,0.5375968394459015
400,DT + RMSE,rmse,False,X2,X1,4,3,0.49049314291844703
400,DT + RMSE,rmse,False,X2,X1,4,4,0.490279902567768
400,DT + RMSE,rmse,False,X2,X1,5,0,0.4495890107161894
400,DT + RMSE,rmse,False,X2,X1,5,1,0.5117711593795372
400,DT + RMSE,rmse,False,X2,X1,5,2,0.5243065408410397
400,DT + RMSE,rmse,False,X2,X1,5,3,0.5403706937442072
400,DT + RMSE,rmse,False,X2,X1,5,4,0.5216357937604633
400,DT + RMSE,rmse,False,X2,X1,6,0,0.5067612427910548
400,DT + RMSE,rmse,False,X2,X1,6,1,0.516707458413951
400,DT + RMSE,rmse,False,X2,X1,6,2,0.4513145881258868
400,DT + RMSE,rmse,False,X2,X1,6,3,0.5096820639261895
400,DT + RMSE,rmse,False,X2,X1,6,4,0.4769620562231665
400,DT + RMSE,rmse,False,X2,X1,7,0,0.4800655556536828
400,DT + RMSE,rmse,False,X2,X1,7,1,0.5078978556432994
400,DT + RMSE,rmse,False,X2,X1,7,2,0.48029438736121854
400,DT + RMSE,rmse,False,X2,X1,7,3,0.4796488443189905
400,DT + RMSE,rmse,False,X2,X1,7,4,0.48617577943688517
400,DT + RMSE,rmse,False,X2,X1,8,0,0.5464960067843471
400,DT + RMSE,rmse,False,X2,X1,8,1,0.5043680610700914
400,DT + RMSE,rmse,False,X2,X1,8,2,0.551209701176611
400,DT + RMSE,rmse,False,X2,X1,8,3,0.521055023726253
400,DT + RMSE,rmse,False,X2,X1,8,4,0.5598624821261292
400,DT + RMSE,rmse,False,X2,X1,9,0,0.47785843357620406
400,DT + RMSE,rmse,False,X2,X1,9,1,0.4573308848459734
400,DT + RMSE,rmse,False,X2,X1,9,2,0.46617250947540345
400,DT + RMSE,rmse,False,X2,X1,9,3,0.4951290071041525
400,DT + RMSE,rmse,False,X2,X1,9,4,0.45991042088553125
400,DT + log-loss,logloss,False,X2,X1,0,0,0.6508842984410479
400,DT + log-loss,logloss,False,X2,X1,0,1,0.7903328448666822
400,DT + log-loss,logloss,False,X2,X1,0,2,0.6489386565163432
400,DT + log-loss,logloss,False,X2,X1,0,3,0.7275813928678841
400,DT + log-loss,logloss,False,X2,X1,0,4,0.6664330813762023
400,DT + log-loss,logloss,False,X2,X1,1,0,0.7247220430339594
400,DT + log-loss,logloss,False,X2,X1,1,1,0.6901640479341971
400,DT + log-loss,logloss,False,X2,X1,1,2,0.6426809080820075
400,DT + log-loss,logloss,False,X2,X1,1,3,0.762373250885708
400,DT + log-loss,logloss,False,X2,X1,1,4,0.6837138311303637
400,DT + log-loss,logloss,False,X2,X1,2,0,0.6580868460105636
400,DT + log-loss,logloss,False,X2,X1,2,1,0.7039516930047576
400,DT + log-loss,logloss,False,X2,X1,2,2,0.6873418100598714
400,DT + log-loss,logloss,False,X2,X1,2,3,0.6696016009164878
400,DT + log-loss,logloss,False,X2,X1,2,4,0.7282925058718024
400,DT + log-loss,logloss,False,X2,X1,3,0,0.6868494648499683
400,DT + log-loss,logloss,False,X2,X1,3,1,0.7565857497382193
400,DT + log-loss,logloss,False,X2,X1,3,2,0.6486001085368005
400,DT + log-loss,logloss,False,X2,X1,3,3,0.713175438279165
400,DT + log-loss,logloss,False,X2,X1,3,4,0.7497638129230695
400,DT + log-loss,logloss,False,X2,X1,4,0,0.667312584086737
400,DT + log-loss,logloss,False,X2,X1,4,1,0.704650230069154
400,DT + log-loss,logloss,False,X2,X1,4,2,0.7727500005974186
400,DT + log-loss,logloss,False,X2,X1,4,3,0.6743031736726417
400,DT + log-loss,logloss,False,X2,X1,4,4,0.6733796675607289
400,DT + log-loss,logloss,False,X2,X1,5,0,0.5946895205060205
400,DT + log-loss,logloss,False,X2,X1,5,1,0.7170837295164474
400,DT + log-loss,logloss,False,X2,X1,5,2,0.7431716555566003
400,DT + log-loss,logloss,False,X2,X1,5,3,0.7777971862666277
400,DT + log-loss,logloss,False,X2,X1,5,4,0.7374612189971858
400,DT + log-loss,logloss,False,X2,X1,6,0,0.7069606034076363
400,DT + log-loss,logloss,False,X2,X1,6,1,0.7275932886225549
400,DT + log-loss,logloss,False,X2,X1,6,2,0.5994792310557482
400,DT + log-loss,logloss,False,X2,X1,6,3,0.7127278915475851
400,DT + log-loss,logloss,False,X2,X1,6,4,0.6476378101474343
400,DT + log-loss,logloss,False,X2,X1,7,0,0.6537541907736841
400,DT + log-loss,logloss,False,X2,X1,7,1,0.7106569350017956
400,DT + log-loss,logloss,False,X2,X1,7,2,0.6542494580322197
400,DT + log-loss,logloss,False,X2,X1,7,3,0.6529787805000485
400,DT + log-loss,logloss,False,X2,X1,7,4,0.6656957780212073
400,DT + log-loss,logloss,False,X2,X1,8,0,0.7919552469028918
400,DT + log-loss,logloss,False,X2,X1,8,1,0.7020846128970326
400,DT + log-loss,logloss,False,X2,X1,8,2,0.8018549295620887
400,DT + log-loss,logloss,False,X2,X1,8,3,0.7365921477102373
400,DT + log-loss,logloss,False,X2,X1,8,4,0.8231123706385142
400,DT + log-loss,logloss,False,X2,X1,9,0,0.6493444381789586
400,DT + log-loss,logloss,False,X2,X1,9,1,0.6108546270552783
400,DT + log-loss,logloss,False,X2,X1,9,2,0.6275277830220777
400,DT + log-loss,logloss,False,X2,X1,9,3,0.6832084373793079
400,DT + log-loss,logloss,False,X2,X1,9,4,0.6153558641553255
400,DT + log-loss (calibrated),logloss,True,X2,X1,0,0,0.6273449730191634
400,DT + log-loss (calibrated),logloss,True,X2,X1,0,1,0.7812472085159141
400,DT + log-loss (calibrated),logloss,True,X2,X1,0,2,0.6528496680764309
400,DT + log-loss (calibrated),logloss,True,X2,X1,0,3,0.7078878720781242
400,DT + log-loss (calibrated),logloss,True,X2,X1,0,4,0.6560331890757833
400,DT + log-loss (calibrated),logloss,True,X2,X1,1,0,0.7066236707348025
400,DT + log-loss (calibrated),logloss,True,X2,X1,1,1,0.6940917729223313
400,DT + log-loss (calibrated),logloss,True,X2,X1,1,2,0.6264896421024607
400,DT + log-loss (calibrated),logloss,True,X2,X1,1,3,0.7789256476690046
400,DT + log-loss (calibrated),logloss,True,X2,X1,1,4,0.6780442026351411
400,DT + log-loss (calibrated),logloss,True,X2,X1,2,0,0.6503554759216408
400,DT + log-loss (calibrated),logloss,True,X2,X1,2,1,0.706608974063695
400,DT + log-loss (calibrated),logloss,True,X2,X1,2,2,0.6772667130368122
400,DT + log-loss (calibrated),logloss,True,X2,X1,2,3,0.6631198158865531
400,DT + log-loss (calibrated),logloss,True,X2,X1,2,4,0.7015362265543659
400,DT + log-loss (calibrated),logloss,True,X2,X1,3,0,0.6604754309449137
400,DT + log-loss (calibrated),logloss,True,X2,X1,3,1,0.7220119995797641
400,DT + log-loss (calibrated),logloss,True,X2,X1,3,2,0.6516206544618508
400,DT + log-loss (calibrated),logloss,True,X2,X1,3,3,0.7082047755744516
400,DT + log-loss (calibrated),logloss,True,X2,X1,3,4,0.7361082050954123
400,DT + log-loss (calibrated),logloss,True,X2,X1,4,0,0.696764272955487
400,DT + log-loss (calibrated),logloss,True,X2,X1,4,1,0.7073826069748677
400,DT + log-loss (calibrated),logloss,True,X2,X1,4,2,0.765727539610991
400,DT + log-loss (calibrated),logloss,True,X2,X1,4,3,0.6462208778571608
400,DT + log-loss (calibrated),logloss,True,X2,X1,4,4,0.6888994560238629
400,DT + log-loss (calibrated),logloss,True,X2,X1,5,0,0.6064163986274013
400,DT + log-loss (calibrated),logloss,True,X2,X1,5,1,0.6872331979583783
400,DT + log-loss (calibrated),logloss,True,X2,X1,5,2,0.7392631922690238
400,DT + log-loss (calibrated),logloss,True,X2,X1,5,3,0.7794258921582337
400,DT + log-loss (calibrated),logloss,True,X2,X1,5,4,0.730898014026861
400,DT + log-loss (calibrated),logloss,True,X2,X1,6,0,0.6923888180192829
400,DT + log-loss (calibrated),logloss,True,X2,X1,6,1,0.7016781446855906
400,DT + log-loss (calibrated),logloss,True,X2,X1,6,2,0.6103657097461552
400,DT + log-loss (calibrated),logloss,True,X2,X1,6,3,0.7062105153150608
400,DT + log-loss (calibrated),logloss,True,X2,X1,6,4,0.6868377978205268
400,DT + log-loss (calibrated),logloss,True,X2,X1,7,0,0.6693019401942043
400,DT + log-loss (calibrated),logloss,True,X2,X1,7,1,0.7220138353505604
400,DT + log-loss (calibrated),logloss,True,X2,X1,7,2,0.6350998956477036
400,DT + log-loss (calibrated),logloss,True,X2,X1,7,3,0.6415121625085294
400,DT + log-loss (calibrated),logloss,True,X2,X1,7,4,0.6844626952626243
400,DT + log-loss (calibrated),logloss,True,X2,X1,8,0,0.8043506399055408
400,DT + log-loss (calibrated),logloss,True,X2,X1,8,1,0.7173566124329752
400,DT + log-loss (calibrated),logloss,True,X2,X1,8,2,0.7739363423182914
400,DT + log-loss (calibrated),logloss,True,X2,X1,8,3,0.7217238046096286
400,DT + log-loss (calibrated),logloss,True,X2,X1,8,4,0.7884286331505461
400,DT + log-loss (calibrated),logloss,True,X2,X1,9,0,0.6341311389418696
400,DT + log-loss (calibrated),logloss,True,X2,X1,9,1,0.6125139163046416
400,DT + log-loss (calibrated),logloss,True,X2,X1,9,2,0.6553602847843217
400,DT + log-loss (calibrated),logloss,True,X2,X1,9,3,0.6888221659814708
400,DT + log-loss (calibrated),logloss,True,X2,X1,9,4,0.609182607662794
800,DT + RMSE,rmse,False,X2,X1,0,0,0.4999369120065702
800,DT + RMSE,rmse,False,X2,X1,0,1,0.482866066359278
800,DT + RMSE,rmse,False,X2,X1,0,2,0.5025634244138576
800,DT + RMSE,rmse,False,X2,X1,0,3,0.4880837136176444
800,DT + RMSE,rmse,False,X2,X1,0,4,0.5258603202942356
800,DT + RMSE,rmse,False,X2,X1,1,0,0.48953749802008195
800,DT + RMSE,rmse,False,X2,X1,1,1,0.5325253850372896
800,DT + RMSE,rmse,False,X2,X1,1,2,0.49850509692712913
800,DT + RMSE,rmse,False,X2,X1,1,3,0.506712082858749
800,DT + RMSE,rmse,False,X2,X1,1,4,0.4893285807050757
800,DT + RMSE,rmse,False,X2,X1,2,0,0.4871184355378778
800,DT + RMSE,rmse,False,X2,X1,2,1,0.49411377146894864
800,DT + RMSE,rmse,False,X2,X1,2,2,0.5148386077728515
800,DT + RMSE,rmse,False,X2,X1,2,3,0.493888688588808
800,DT + RMSE,rmse,False,X2,X1,2,4,0.5013224350568988
800,DT + RMSE,rmse,False,X2,X1,3,0,0.5035968272388385
800,DT + RMSE,rmse,False,X2,X1,3,1,0.4982121405411894
800,DT + RMSE,rmse,False,X2,X1,3,2,0.5283101935442565
800,DT + RMSE,rmse,False,X2,X1,3,3,0.5098013466758314
800,DT + RMSE,rmse,False,X2,X1,3,4,0.4638529124528838
800,DT + RMSE,rmse,False,X2,X1,4,0,0.5262823070802404
800,DT + RMSE,rmse,False,X2,X1,4,1,0.4677139058762434
800,DT + RMSE,rmse,False,X2,X1,4,2,0.5177461227182876
800,DT + RMSE,rmse,False,X2,X1,4,3,0.47818505157537133
800,DT + RMSE,rmse,False,X2,X1,4,4,0.5102330165773256
800,DT + RMSE,rmse,False,X2,X1,5,0,0.4909343922709382
800,DT + RMSE,rmse,False,X2,X1,5,1,0.5307389799138484
800,DT + RMSE,rmse,False,X2,X1,5,2,0.5106148972745574
800,DT + RMSE,rmse,False,X2,X1,5,3,0.4929807163398636
800,DT + RMSE,rmse,False,X2,X1,5,4,0.49844462599577144
800,DT + RMSE,rmse,False,X2,X1,6,0,0.4896722221970829
800,DT + RMSE,rmse,False,X2,X1,6,1,0.5113190347986271
800,DT + RMSE,rmse,False,X2,X1,6,2,0.5089527234063445
800,DT + RMSE,rmse,False,X2,X1,6,3,0.5095434064253626
800,DT + RMSE,rmse,False,X2,X1,6,4,0.5248873735418265
800,DT + RMSE,rmse,False,X2,X1,7,0,0.4656263681739754
800,DT + RMSE,rmse,False,X2,X1,7,1,0.5309813091333724
800,DT + RMSE,rmse,False,X2,X1,7,2,0.5195557413037722
800,DT + RMSE,rmse,False,X2,X1,7,3,0.47720734496137057
800,DT + RMSE,rmse,False,X2,X1,7,4,0.46699405044441594
800,DT + RMSE,rmse,False,X2,X1,8,0,0.5085660253690147
800,DT + RMSE,rmse,False,X2,X1,8,1,0.49470729714985007
800,DT + RMSE,rmse,False,X2,X1,8,2,0.5409012937291033
800,DT + RMSE,rmse,False,X2,X1,8,3,0.4938583182822692
800,DT + RMSE,rmse,False,X2,X1,8,4,0.4945432186708692
800,DT + RMSE,rmse,False,X2,X1,9,0,0.5212683701733931
800,DT + RMSE,rmse,False,X2,X1,9,1,0.4746937557326079
800,DT + RMSE,rmse,False,X2,X1,9,2,0.5018316526783907
800,DT + RMSE,rmse,False,X2,X1,9,3,0.46778156279640914
800,DT + RMSE,rmse,False,X2,X1,9,4,0.5050328993523837
800,DT + log-loss,logloss,False,X2,X1,0,0,0.693062573521006
800,DT + log-loss,logloss,False,X2,X1,0,1,0.6592889110953937
800,DT + log-loss,logloss,False,X2,X1,0,2,0.6983171521126401
800,DT + log-loss,logloss,False,X2,X1,0,3,0.6695761717074071
800,DT + log-loss,logloss,False,X2,X1,0,4,0.7476266779550873
800,DT + log-loss,logloss,False,X2,X1,1,0,0.672408272705628
800,DT + log-loss,logloss,False,X2,X1,1,1,0.7607021754273631
800,DT + log-loss,logloss,False,X2,X1,1,2,0.6899216234581784
800,DT + log-loss,logloss,False,X2,X1,1,3,0.7066826031830188
800,DT + log-loss,logloss,False,X2,X1,1,4,0.672013932921716
